Jori Lehtera,29,C,STL,64,7,15,22,-6,34,7,0,0,1,12,3,0,67,10.4,971,15:11,29,64,409,423,49.2
Nic Dowd,26,C,LAK,70,6,16,22,-15,25,5,1,0,2,9,7,0,78,7.7,872,12:27,35,145,338,369,47.8
Carl Hagelin,28,LW,PIT,61,6,16,22,10,16,6,0,0,2,15,0,1,128,4.7,945,15:29,24,66,3,3,50
Dennis Seidenberg,35,D,NYI,73,5,17,22,25,32,5,0,0,0,17,0,0,89,5.6,1418,19:26,146,154,0,0,
Anton Stralman,30,D,TBL,73,5,17,22,1,20,4,1,0,0,11,6,0,130,3.8,1672,22:54,96,106,0,0,
Brendan Perlini,20,LW,ARI,57,14,7,21,-4,20,11,3,0,2,5,2,0,92,15.2,846,14:50,15,42,1,1,50
Chris Stewart,29,RW,MIN,79,13,8,21,3,94,13,0,0,0,6,2,0,82,15.9,821,10:23,19,85,2,9,18.2
Aaron Ekblad,20,D,FLA,68,10,11,21,-23,58,5,4,1,2,7,4,0,225,4.4,1459,21:28,62,88,0,0,
Marian Gaborik,34,RW,LAK,56,10,11,21,-4,18,7,3,0,3,9,2,0,123,8.1,828,14:47,15,21,0,1,0
Drew Stafford,31,RW,TOT,58,8,13,21,6,24,5,3,0,3,12,1,0,109,7.3,789,13:36,3,62,7,15,31.8
Justin Abdelkader,29,LW,DET,64,7,14,21,-20,50,2,5,0,1,11,2,1,104,6.7,1066,16:40,27,144,5,12,29.4
Alexander Edler,30,D,VAN,68,6,15,21,-20,36,4,2,0,0,13,2,0,138,4.3,1653,24:19,138,106,2,1,66.7
Jesper Fast,25,RW,NYR,68,6,15,21,6,16,6,0,0,1,15,0,0,56,10.7,938,13:48,44,99,17,27,38.6
Steven Stamkos,26,C,TBL,17,9,11,20,3,14,6,3,0,1,7,4,0,58,15.5,304,17:52,3,21,106,92,53.5
Pavel Buchnevich,21,RW,NYR,41,8,12,20,6,13,7,1,0,0,10,2,0,55,14.5,544,13:16,8,17,1,6,14.3
Blake Comeau,30,LW,COL,77,8,12,20,-19,58,5,2,1,1,12,0,0,103,7.8,1154,14:59,22,129,114,132,46.3
Jannik Hansen,30,RW,TOT,43,8,12,20,2,34,8,0,0,1,12,0,0,73,11,690,16:03,15,43,0,1,0
Lauri Korpikoski,30,LW,TOT,69,8,12,20,5,10,8,0,0,0,11,0,1,108,7.4,856,12:24,36,37,0,7,0
Kevin Labanc,21,RW,SJS,55,8,12,20,9,22,8,0,0,2,10,2,0,70,11.4,752,13:41,14,19,2,2,50
Oscar Lindberg,25,C,NYR,65,8,12,20,2,32,8,0,0,1,11,1,0,86,9.3,704,10:50,36,94,299,276,52
Jakob Chychrun,18,D,ARI,68,7,13,20,-14,47,6,1,0,0,12,1,0,86,8.1,1133,16:40,99,109,0,0,
Hampus Lindholm,23,D,ANA,66,6,14,20,13,36,5,1,0,2,10,4,0,94,6.4,1482,22:27,94,98,2,0,100
Josh Morrissey,21,D,WPG,82,6,14,20,6,38,5,1,0,3,14,0,0,99,6.1,1598,19:29,139,145,0,0,
Cal Clutterbuck,29,RW,NYI,66,5,15,20,2,28,5,0,0,1,14,1,0,115,4.3,924,13:00,25,222,3,5,37.5
Thomas Hickey,27,D,NYI,76,4,16,20,-1,35,4,0,0,2,13,3,0,87,4.6,1331,17:31,103,89,0,0,
Jake McCabe,23,D,BUF,76,3,17,20,-7,26,2,1,0,1,14,3,0,79,3.8,1574,20:42,114,73,0,0,
Brett Pesce,22,D,CAR,82,2,18,20,23,20,2,0,0,0,16,2,0,109,1.8,1739,21:12,148,57,0,0,
Joel Armia,23,RW,WPG,57,10,9,19,-8,20,6,0,4,1,7,2,0,111,9,863,15:08,30,68,3,4,42.9
Matt Read,30,RW,PHI,63,10,9,19,3,8,7,2,1,2,9,0,0,92,10.9,869,13:48,32,95,5,10,33.3
Beau Bennett,25,RW,NJD,65,8,11,19,-4,20,7,1,0,1,10,1,0,101,7.9,881,13:33,13,76,3,13,18.8
Tom Wilson,22,RW,WSH,82,7,12,19,9,133,7,0,0,0,12,0,0,95,7.4,1060,12:56,44,239,3,7,30
Trevor Daley,33,D,PIT,56,5,14,19,7,37,4,1,0,0,10,3,1,84,6,1141,20:23,83,29,0,0,
Ben Hutton,23,D,VAN,71,5,14,19,-22,31,3,2,0,1,5,9,0,130,3.8,1455,20:30,106,46,0,0,
Adam Larsson,24,D,EDM,79,4,15,19,21,55,4,0,0,0,15,0,0,85,4.7,1592,20:09,160,253,0,0,
Cody Franson,29,D,BUF,68,3,16,19,-5,34,2,1,0,0,15,1,0,93,3.2,1257,18:29,68,87,0,0,
Matt Hunwick,31,D,TOR,72,1,18,19,8,18,1,0,0,0,18,0,0,73,1.4,1294,17:59,90,91,0,0,
Rene Bourque,35,RW,COL,65,12,6,18,-19,56,10,2,0,2,6,0,0,111,10.8,906,13:57,26,75,0,5,0
Scottie Upshall,33,RW,STL,73,10,8,18,-1,45,8,0,2,1,8,0,0,85,11.8,802,10:59,21,99,3,9,25
